,TP,SP,ACWI,EME,JB,DMB,EMB,IGB,GOLD
2005/1/31,-0.003006866,-0.014206679,-0.010793842,0.013623912,0.004520267,-0.008722231,0.01757775,0.018400184,-0.026101166
2005/2/28,0.027548083,0.030202898,0.044384915,0.097564476,-0.004431399,0.01579424,0.016287452,0.000570646,0.040125382
2005/3/31,0.009979269,0.005952599,0.00193491,-0.043382829,0.006653742,0.013653085,-0.001930027,0.009104706,0.00692472
2005/4/29,-0.044194464,-0.04094134,-0.043301532,-0.048454749,0.004136799,-0.008404605,-0.010864187,-0.006150696,-0.008590898
2005/5/31,0.012823769,0.069448946,0.056597483,0.072960139,0.000317777,0.009064827,0.065686873,0.051963969,-0.0044517
2005/6/30,0.029799135,0.023095131,0.032426947,0.056911203,0.00406172,0.025273205,0.041288874,0.029912465,0.066330514
2005/7/29,0.023630648,0.051962107,0.052008522,0.086010368,-0.004881466,0.004886605,0.012782201,-0.000778598,0.000969659
2005/8/31,0.055167839,-0.025769708,-0.008875898,-0.007949443,-0.000999251,0.013533889,0.002380005,-0.000961859,-0.004447092
2005/9/30,0.115191724,0.034525416,0.057381428,0.121909169,-0.005012617,0.002823591,0.046396539,0.006882266,0.106627348
2005/10/31,0.022981956,0.008364963,-0.001975964,-0.041538471,-0.002056273,0.012845455,0.010516649,0.008858032,0.016479613
2005/11/30,0.063360205,0.068225941,0.067307559,0.114518161,0.005071145,0.019099841,0.044125793,0.037214883,0.091005914
2005/12/30,0.074527585,-0.016850194,0.007224906,0.041025395,-0.001492027,-0.003003715,0.000793536,-0.006493845,0.030483408
2006/1/31,0.037011799,0.021684004,0.044542692,0.107109641,-0.00181364,0.007603628,0.007407073,-0.007037595,0.095247036
2006/2/28,-0.029210768,-0.009520246,-0.013249094,-0.013147076,-0.002593989,-0.020671827,0.009923187,-0.008877542,-0.024963397
2006/3/31,0.046329513,0.030026746,0.039204291,0.0264818,-0.006885648,0.012487688,-0.000333435,0.001653424,0.057400655
2006/4/28,-0.006777569,-0.020563359,-0.000866916,0.035432384,-0.003091761,-0.010441779,-0.033715986,-0.038475034,0.083667118
2006/5/31,-0.079485959,-0.038932681,-0.048641457,-0.113925262,0.00221029,-0.00194597,-0.031383539,-0.009042566,-0.024410618
2006/6/30,0.004784194,0.017354754,1.60E-02,0.013825878,-0.002482536,0.013888626,0.013189619,0.013953942,-0.030236589
2006/7/31,-0.009398242,0.008283305,0.00918209,0.016833867,0.000821854,0.012390369,0.036304923,0.018188509,0.036105175
2006/8/31,0.039858044,0.048075424,0.050786263,0.050313088,0.013844392,0.041576689,0.050350922,0.044139326,0.008525182
2006/9/29,-0.010228067,0.032583396,0.018641874,0.01510583,0.000547583,0.005233621,0.011837181,0.0180823,-0.039893071
2006/10/31,0.00416007,0.022098641,0.027157968,0.036913424,-0.001128771,0.003005553,0.01010343,-0.002874732,0.003577774
2006/11/30,-0.008862387,0.008828215,0.018481822,0.063728705,0.002339996,0.018842563,0.002760042,0.004856964,0.057564939
2006/12/29,0.04921367,0.042483531,0.05126853,0.074452992,-0.000148044,0.015180671,0.036166707,0.017951025,0.010135562
2007/1/31,0.024350658,0.029105489,0.024081306,0.003534767,0.002095696,0.001402883,0.010801425,0.012219303,0.040046407
2007/2/28,0.018054845,-0.036944282,-0.02252147,-0.023419881,0.002602776,0.00182152,-0.001009881,0.004905497,0.006556163
